id,protected,Title,Company,Location,Duration,Stipend_per_month,Apply By,Applicants,Skills Required,Perks,Number of Openings,Incentives,Category
86,1725382,Python Development,AnsrOne,Work From Home,2,1000,7 Feb' 22,342 applicants,"Django , Python , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",3,0,Computer Science
87,123888130,Jewellery CAD Design,V M Jewellery,Mumbai,6,5000,2 Feb' 22,Be an early applicant,"Adobe Photoshop , CAD , Fashion Designing , Rhino , ","Certificate , Letter of recommendation , Job offer , ",1,0,Mechanical
88,124914252,Subject Matter Expert (Physics),Anurag Verma,Work From Home,6,20000,12 Feb' 22,40 applicants,"Physics , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",10,0,Science
89,13086406,Social Media Marketing,Coach For Mind,Work From Home,2,2000,5 Feb' 22,Be an early applicant,"Digital Marketing , Instagram Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",1,0,Content Writing
90,8430412,Content Writing,House Of Couton Private Limited,Work From Home,2,1000,11 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , ","Certificate , Letter of recommendation , ",19,0,Content Writing
91,32678472,Graphic Design,Nikhil Kumar Chandrakala,Work From Home,2,2000,30 Jan' 22,57 applicants,"Adobe After Effects , Adobe Creative Suite , Adobe Illustrator , Adobe Photoshop , CorelDRAW , ","Letter of recommendation , Flexible work hours , ",1,0,Graphic Design
92,69547360,Business Development (Sales),Ideamagix,Thane,6,6000,29 Jan' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Office , ","Certificate , Letter of recommendation , Informal dress code , Free snacks & beverages , Job offer , ",12,0,Marketing
93,69413992,Business Development (Sales),IndiaFilings,Navi Mumbai,6,12000,29 Jan' 22,Be an early applicant,,,10,0,Marketing
94,9323962,Social Media Marketing,FabBox,Mumbai,2,7000,10 Feb' 22,Be an early applicant,"Creative Writing , English Proficiency (Spoken) , English Proficiency (Written) , Instagram Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Informal dress code , ",1,0,Content Writing
95,73076952,Digital Marketing,Taaz ITSolutions,Work From Home,3,6000,12 Feb' 22,27 applicants,,"Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",5,0,Marketing
96,62750262,Business Development (Sales),Ankita Aggarwal,Work From Home,2,3000,3 Feb' 22,Be an early applicant,"Creative Writing , Digital Marketing , Salesforce , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,1,Marketing
97,29284432,Graphic Design,ParkingMudde India LLP,Work From Home,2,3000,3 Feb' 22,Be an early applicant,"Adobe Illustrator , Adobe Photoshop , CorelDRAW , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",9,0,Graphic Design
98,50091106,Business Development (Sales),Break The Code,Work From Home,3,5000,10 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , ",3,0,Marketing
99,427162,Software Development,Wozart Technologies Private Limited,Hyderabad,6,7000,11 Feb' 22,Be an early applicant,"C Programming , English Proficiency (Written) , Node.js , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , ",2,0,Computer Science
100,87058330,Digital Marketing,Webpreneurs Private Limited,Work From Home,4,6000,5 Feb' 22,36 applicants,"Facebook Marketing , Google AdWords , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",1,0,Marketing
101,5150730,Chatbot Development,Mindmap Consulting,Work From Home,3,5000,1 Feb' 22,Be an early applicant,"Artifical Intelligence , Natural Language Processing (NLP) , REST API , Robotic Process Automation (RPA) , ","Letter of recommendation , ",2,0,Computer Science
102,72411690,Digital Marketing,Zero Cost Marketing,Work From Home,2,2000,12 Feb' 22,Be an early applicant,"English Proficiency (Written) , ","Certificate , 5 days a week , ",2,0,Marketing
103,51818502,Business Development (Sales),Wealth Socials,Work From Home,6,5000,10 Feb' 22,Be an early applicant,"Digital Marketing , English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , MS-Word , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",4,0,Marketing
104,14428702,Content Writing,TechGeeks,Work From Home,2,2000,3 Feb' 22,Be an early applicant,"Creative Writing , Report Writing , ","Certificate , ",1,0,Content Writing
105,51588406,Campus Ambassador,InfraRanking,Work From Home,0.25,Unknown,10 Feb' 22,Be an early applicant,,"Certificate , Flexible work hours , ",20,0,Marketing
106,40214722,Human Resources (HR),IFORTIS WORLDWIDE (A Subsidiary Of American Ruler Private Limited),Work From Home,1,1000,3 Feb' 22,452 applicants,,"Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",16,0,Human Resources
107,131434860,Event Management,ARISE NGO,Delhi,3,0,3 Feb' 22,Be an early applicant,"English Proficiency (Written) , MS-Office , ","Certificate , Letter of recommendation , Informal dress code , 5 days a week , ",2,0,Volunteering
108,12065302,Content Writing,The Works,Mumbai,3,5000,7 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Informal dress code , ",1,0,Content Writing
109,48045792,Business Development (Sales),Orangefox,Work From Home,3,7000,11 Feb' 22,50 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , Letter of recommendation , ",2,0,Marketing
110,128516332,Fundraising,Simmi Foundation Organization,Work From Home,0.5,500,11 Feb' 22,38 applicants,,"Certificate , Letter of recommendation , Flexible work hours , ",12,0,Volunteering
111,116975140,Social Media Marketing,DRK JEWELS,Work From Home,6,6000,11 Feb' 22,59 applicants,"Adobe Illustrator , Creative Writing , Digital Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , ","Letter of recommendation , Flexible work hours , ",1,0,Marketing
112,374032,Mobile App Development,Slay Life,Work From Home,3,5000,11 Feb' 22,Be an early applicant,"Android , CSS , Firebase , HTML , iOS , Node.js , ReactJS , React Native , REST API , WordPress , ","Certificate , Letter of recommendation , Flexible work hours , ",1,0,Computer Science
113,20616240,Finance,Digital Vakil,Bangalore,2,5000,3 Feb' 22,196 applicants,"Accounting , MS-Excel , MS-Office , ","Certificate , Job offer , ",2,0,Finance
114,4471210,Web Development,Flickcall,Work From Home,4,10000,23 Feb' 22,51 applicants,"JavaScript , PHP , Yii , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,0,Computer Science
115,87731422,Search Engine Optimization (SEO),WebSolGuru,Work From Home,2,1500,5 Feb' 22,31 applicants,"English Proficiency (Written) , Google AdWords , Google Analytics , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Flexible work hours , ",1,1,Marketing
116,18314220,Content Writing,Saurabh Chaudhary (Stock Consultant Bihar),Work From Home,4,1000,29 Jan' 22,Be an early applicant,"Copywriting , English Proficiency (Written) , ","Certificate , ",5,0,Content Writing
117,33333402,Human Resources (HR),Talent Toppers,Noida,2,5000,12 Feb' 22,Be an early applicant,"MS-Excel , MS-Office , MS-Word , ","Certificate , Letter of recommendation , Informal dress code , 5 days a week , Job offer , ",5,0,Human Resources
118,10462090,Content Writing,Think And Dream Private Limited,Work From Home,1,1000,9 Feb' 22,98 applicants,"Blogging , Creative Writing , Digital Marketing , English Proficiency (Written) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",1,0,Content Writing
119,6773106,Mobile App Development,JookeBox,Bangalore,6,5000,15 Feb' 22,58 applicants,"Dart , Flutter , Linux , PHP , REST API , ","Certificate , Letter of recommendation , Informal dress code , Job offer , ",1,0,Computer Science
120,73676572,Social Media Marketing,Goodera,Work From Home,3,10000,11 Feb' 22,109 applicants,"Creative Writing , Digital Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Instagram Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,0,Marketing
121,261732,Mobile App Development,CalciteX Cybernetics LLP,Work From Home,2,5000,11 Feb' 22,Be an early applicant,"Flutter , Python , Swift , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",5,0,Computer Science
122,62497030,Business Development (Sales),IVyoma Solutions,Work From Home,2,2000,3 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , ",2,0,Marketing
123,33843406,Human Resources (HR),Frontuser,Surat,6,4000,11 Feb' 22,Be an early applicant,"Recruitment , ",,1,0,Human Resources
